Contig_Names	Name
s1030.ctg001132c	complete.62
s1042.ctg001144c	complete.64
s459.ctg000508c	complete.35
s1990.ctg002206c	complete.90
s827.ctg000909l	complete.49
s1073.ctg001182c	complete.66
s2400.ctg002660c	complete.97
s324.ctg000357c	complete.27
s2196.ctg002437c	complete.94
s29.ctg000030l	semibin2_7
s460.ctg000509l	semibin2_32
s36.ctg000624l	semibin2_9
s135.ctg000147c	metabat2.555
s263.ctg000292l	metabat2.555
s197.ctg000217l	metabat2.516
s813.ctg000894l	metabat2.516
s30.ctg000074l	metabat2.570
s30.ctg000229l	metabat2.570
s692.ctg000764l	metabat2.577
s821.ctg000903l	metabat2.577
s11.ctg000012l	metabat2.767
s104.ctg001514l	metabat2.767
s1000.ctg001098l	semibin2_22
s1362.ctg001503l	semibin2_22
s21653.ctg025323l	semibin2_22
s321.ctg000354l	metabat2.364
s9920.ctg011353l	metabat2.364
s18449.ctg021473l	metabat2.364
s533.ctg000588l	metabat2.924
s864.ctg000953l	metabat2.924
s13505.ctg015584l	metabat2.924
s291.ctg000322l	metabat2.629
s5435.ctg006136l	metabat2.629
s41772.ctg052177l	metabat2.629
s846.ctg000933l	metabat2.552
s3480.ctg003882c	metabat2.552
s8278.ctg009437l	metabat2.552
s4680.ctg005250l	metabat2.526
s8086.ctg009218l	metabat2.526
s13845.ctg015982l	metabat2.526
s386.ctg000425l	metabat2.520
s1938.ctg002147l	metabat2.520
s1938.ctg002150l	metabat2.520
s386.ctg007587l	metabat2.520
s980.ctg001077l	metabat2.9
s1192.ctg001312l	metabat2.9
s1672.ctg001845l	metabat2.9
s3525.ctg003934l	metabat2.9
s8.ctg000009l	metabat2.491
s182.ctg000199l	metabat2.491
s182.ctg001933l	metabat2.491
s1777.ctg001960l	metabat2.491
s3661.ctg004082l	metabat2.491
s7.ctg002499l	metabat2.1024
s7.ctg002995l	metabat2.1024
s7.ctg003009l	metabat2.1024
s7.ctg007653l	metabat2.1024
s7.ctg015329l	metabat2.1024
s36.ctg000143l	metabat2.993
s314.ctg000346l	metabat2.993
s36.ctg000578l	metabat2.993
s36.ctg026961l	metabat2.993
s36.ctg034161l	metabat2.993
s763.ctg000840c	metabat2.298
s949.ctg001045l	metabat2.298
s5362.ctg006050l	metabat2.298
s832.ctg008101l	metabat2.298
s832.ctg024955l	metabat2.298
s33754.ctg040377l	metabat2.298
s30.ctg000068l	metabat2.988
s30.ctg000324l	metabat2.988
s30.ctg002343l	metabat2.988
s30.ctg002916l	metabat2.988
s30.ctg003818l	metabat2.988
s30.ctg008720l	metabat2.988
s30.ctg021663l	metabat2.988
s356.ctg000392l	metabat2.433
s356.ctg000927l	metabat2.433
s356.ctg001008l	metabat2.433
s1599.ctg001763l	metabat2.433
s356.ctg003210l	metabat2.433
s3618.ctg004035l	metabat2.433
s23505.ctg027592l	metabat2.433
s13.ctg000274l	metabat2.725
s13.ctg000773l	metabat2.725
s13.ctg000986l	metabat2.725
s13.ctg001185l	metabat2.725
s13.ctg001590l	metabat2.725
s1841.ctg002035l	metabat2.725
s2662.ctg002963c	metabat2.725
s1631.ctg001801l	metabat2.542
s5258.ctg005932l	metabat2.542
s11663.ctg013390l	metabat2.542
s18546.ctg021586l	metabat2.542
s20614.ctg024075l	metabat2.542
s26479.ctg031237l	metabat2.542
s30091.ctg035711l	metabat2.542
s465.ctg000514l	semibin2_24
s1438.ctg001586l	semibin2_24
s2327.ctg002583l	semibin2_24
s2746.ctg003059l	semibin2_24
s5014.ctg005639l	semibin2_24
s13095.ctg015087l	semibin2_24
s14251.ctg016470l	semibin2_24
s442.ctg033141l	semibin2_24
s353.ctg000389l	semibin2_6
s1119.ctg001233l	semibin2_6
s2343.ctg002601l	semibin2_6
s6774.ctg007675l	semibin2_6
s8922.ctg010197l	semibin2_6
s11945.ctg013728l	semibin2_6
s20808.ctg024306l	semibin2_6
s26506.ctg031271l	semibin2_6
s32533.ctg038797l	semibin2_6
s792.ctg000870l	metabat2.426
s1035.ctg001137l	metabat2.426
s1670.ctg001843l	metabat2.426
s1670.ctg003165l	metabat2.426
s3226.ctg003605l	metabat2.426
s5054.ctg005685l	metabat2.426
s11483.ctg013178l	metabat2.426
s15225.ctg017634l	metabat2.426
s15602.ctg018090l	metabat2.426
s1539.ctg001696l	semibin2_15
s2528.ctg002808l	semibin2_15
s2685.ctg002989l	semibin2_15
s3048.ctg003393c	semibin2_15
s30.ctg003599l	semibin2_15
s3558.ctg003970l	semibin2_15
s30.ctg006559l	semibin2_15
s13608.ctg015705l	semibin2_15
s17082.ctg019838l	semibin2_15
s28044.ctg033160l	semibin2_15
s48.ctg000049l	metabat2.453
s1493.ctg001646l	metabat2.453
s3475.ctg003877l	metabat2.453
s3508.ctg003915l	metabat2.453
s4569.ctg005121l	metabat2.453
s5804.ctg006565l	metabat2.453
s10327.ctg011830l	metabat2.453
s10420.ctg011941l	metabat2.453
s20506.ctg023952l	metabat2.453
s26695.ctg031508l	metabat2.453
s36533.ctg044076l	metabat2.453
s238.ctg000265l	metabat2.595
s435.ctg000482l	metabat2.595
s1315.ctg001445l	metabat2.595
s1488.ctg001641l	metabat2.595
s2158.ctg002396l	metabat2.595
s4814.ctg005400l	metabat2.595
s8836.ctg010095l	metabat2.595
s9290.ctg010616l	metabat2.595
s9511.ctg010877l	metabat2.595
s11015.ctg012653l	metabat2.595
s15876.ctg018408l	metabat2.595
s18931.ctg022054l	metabat2.595
s20298.ctg023713l	metabat2.595
s25828.ctg030429l	metabat2.595
s944.ctg001040l	metabat2.587
s2003.ctg002221l	metabat2.587
s3059.ctg003405l	metabat2.587
s4457.ctg004996l	metabat2.587
s5134.ctg005778l	metabat2.587
s5266.ctg005941l	metabat2.587
s6728.ctg007624l	metabat2.587
s7326.ctg008313l	metabat2.587
s10856.ctg012456l	metabat2.587
s13694.ctg015808l	metabat2.587
s13843.ctg015980l	metabat2.587
s13860.ctg015998l	metabat2.587
s18216.ctg021187l	metabat2.587
s30937.ctg036776l	metabat2.587
s335.ctg000369l	metabat2.588
s423.ctg000470l	metabat2.588
s1921.ctg002129l	metabat2.588
s2785.ctg003099l	metabat2.588
s4751.ctg005330l	metabat2.588
s5086.ctg005721l	metabat2.588
s6070.ctg006866l	metabat2.588
s6737.ctg007633l	metabat2.588
s7795.ctg008874l	metabat2.588
s7923.ctg009031l	metabat2.588
s11008.ctg012645l	metabat2.588
s16345.ctg018970l	metabat2.588
s18500.ctg021533l	metabat2.588
s20770.ctg024256l	metabat2.588
s24655.ctg028988l	metabat2.588
s36.ctg002533l	semibin2_46
s4620.ctg005179l	semibin2_46
s5545.ctg006263l	semibin2_46
s5957.ctg006731l	semibin2_46
s7677.ctg008725l	semibin2_46
s9409.ctg010760l	semibin2_46
s11140.ctg012800l	semibin2_46
s11456.ctg013148l	semibin2_46
s11584.ctg013294l	semibin2_46
s12005.ctg013800l	semibin2_46
s13222.ctg015234l	semibin2_46
s15791.ctg018305l	semibin2_46
s17209.ctg019985l	semibin2_46
s18650.ctg021716l	semibin2_46
s27562.ctg032568l	semibin2_46
s837.ctg000920l	semibin2_3
s962.ctg001059l	semibin2_3
s2096.ctg002325l	semibin2_3
s4613.ctg005170l	semibin2_3
s6452.ctg007308l	semibin2_3
s7090.ctg008036l	semibin2_3
s7354.ctg008347l	semibin2_3
s7577.ctg008604l	semibin2_3
s7583.ctg008611l	semibin2_3
s8505.ctg009696l	semibin2_3
s9042.ctg010332l	semibin2_3
s9131.ctg010440l	semibin2_3
s9160.ctg010473l	semibin2_3
s15572.ctg018053l	semibin2_3
s15641.ctg018133l	semibin2_3
s17640.ctg020498l	semibin2_3
s20264.ctg023676l	semibin2_3
s37114.ctg044855l	semibin2_3
s41408.ctg051520l	semibin2_3
s43274.ctg055113l	semibin2_3
